URL,80,443
http://www.cloudflare.com,X,,
https://abuse.cloudflare.com,,X,
https://ai.cloudflare.com,,X,
https://blog.cloudflare.com,,X,
https://cf-assets.www.cloudflare.com,,X,
https://challenges.cloudflare.com,,X,
https://cloudflare.com,,X,
https://cloudflare.net,,X,
https://cloudflare.ondemand.goldcast.io,,X,
https://cloudflare.registration.goldcast.io,,X,
https://cloudflare.tv,,X,
https://community.cloudflare.com,,X,
https://dash.cloudflare.com,,X,
https://developers.cloudflare.com,,X,
https://domains.cloudflare.com,,X,
https://ot.www.cloudflare.com,,X,
https://performance.radar.cloudflare.com,,X,
https://portal.cloudflarepartners.com,,X,
https://radar.cloudflare.com,,X,
https://speed.cloudflare.com,,X,
https://support.cloudflare.com,,X,
https://workers.cloudflare.com,,X,
https://www.cloudflare.com,,X,
https://www.cloudflarestatus.com,,X,
mailto:dpo@cloudflare.com,X,,
mailto:press@cloudflare.com,X,,
mailto:privacyquestions@cloudflare.com,X,,
